stable_nodes_name;occurence
CXCR1_IL8_complex_M2_macrophage__cytoplasmic_membrane_up;1
CXCR2_CXCL8_complex;1
CXCR3;1
CYLD;1
CypA;1
DAG_simple_molecule;1
DAXX_Fibroblast___Cytoplasm;1
DAXX_M1_macrophage___Cytoplasm;1
DAXX_M2_macrophage__cytoplasm;1
DAXX_TH1___cytoplasm;1
DKK1;1
DNA_simple_molecule;1
dsRNA_simple_molecule;1
DUSP1_M1_macrophage___Cytoplasm;1
DUSP1_M2_macrophage__cytoplasm;1
DUSP7;1
Dvl1;1
DVL1_phosphorylated;1
DYNLRB1;1
EDA_EDA2R_complex;1
EDA_Fibroblast___Extracellular_Space;1
EDA_M1_macrophage___Secreted_components;1
EDA_M2_macrophage__secreted_components;1
EDN1;1
EFNB1;1
EFNB1_EPHB1_complex;1
efnb1_rna;1
EGF;1
EGF_EGFR_complex;1
EGFR;1
EOMES;1
EP300;1
EPHB2;1
ERK1_phosphorylated_M1_macrophage___Cytoplasm;1
ERK1_phosphorylated_M1_macrophage___nucleus;1
ERK1_phosphorylated_M2_macrophage__cytoplasm;1
ERK1_phosphorylated_M2_macrophage_nucleus;1
FADD_Fibroblast___Cytoplasm;1
FADD_M1_macrophage___Cytoplasm;1
FADD_M2_macrophage__cytoplasm;1
FAS_FASL_complex;1
FAS_M1_macrophage__Cytoplasmic_membrane_up;1
FAS_M2_macrophage__cytoplasmic_membrane_up;1
FASL_FAS_complex_M1_macrophage__Cytoplasmic_membrane_up;1
FASL_FAS_complex_M2_macrophage__cytoplasmic_membrane_up;1
FASL_M1_macrophage___Extracellular_Space;1
FASL_M1_macrophage___Secreted_components;1
FASL_M2_macrophage__extracellular_space;1
FASL_M2_macrophage__secreted_components;1
FASLG_FAS_complex;1
FASLG_Fibroblast___Extracellular_Space;1
FASLG_TH1___extracellular_space;1
FASLG_TH1___secreted_components;1
FGF1;1
FGF1_FGFR4_complex;1
FGR;1
FN1_M2_macrophage__secreted_components;1
FOS;1
FOXO_M1_macrophage___Cytoplasm;1
FOXO_M1_macrophage___nucleus;1
FOXO1_M2_macrophage_nucleus;1
FZD1_LRP5_complex;1
FZD5_LRP5_wnt5a_complex;1
GAB1;1
GAB2_phosphorylated_Fibroblast___Cytoplasm;1
GAB2_phosphorylated_M2_macrophage__cytoplasm;1
gal_Fibroblast___secreted_components;1
GAL_GALR2_complex_M1_macrophage__Cytoplasmic_membrane_up;1
GAL_GALR2_complex_M2_macrophage__cytoplasmic_membrane_up;1
gal_M1_macrophage___Extracellular_Space;1
gal_M2_macrophage__extracellular_space;1
GAL_rna;1
gamma_secretase_complex;1
gamma_secretase_complex_complex;1
GAS6_Fibroblast___secreted_components;1
GAS6_M2_macrophage__extracellular_space;1
GAS6_MERTK_complex;1
gas6_mertk_complex;1
GAS6_TH1___extracellular_space;1
GNA12_GNA13_complex_M1_macrophage___Cytoplasm;1
