Names;Target_nodes
MAP2K2;MEK2_phosphorylated_M1_macrophage___Cytoplasm,MEK2_phosphorylated_M2_macrophage__cytoplasm
RAC1;RAC1_2,Rac1_M1_macrophage___Cytoplasm,Rac1_M2_macrophage__cytoplasm,Rac1_TH1___cytoplasm
IL1B;IL1B_Fibroblast___Extracellular_Space,IL1B_IL1R1_complex,IL1B_M1_macrophage___Extracellular_Space
CCL2;CCL2_Fibroblast___Extracellular_Space,CCL2_M1_macrophage___Extracellular_Space,CCL2_TH1___extracellular_space
RHOA;RHOA_Fibroblast___Cytoplasm,RHOA_M1_macrophage___Cytoplasm,RHOA_M2_macrophage__cytoplasm,RHOA_TH1___cytoplasm
IL17A;IL17A_Fibroblast___Extracellular_Space,IL17A_Fibroblast___secreted_components,IL17A_IL17RA_complex
STAT1;HOMODIMER_space_STAT1,STAT1_Fibroblast___Cytoplasm,STAT1_Fibroblast___nucleus,STAT1_M1_macrophage___Cytoplasm,STAT1_STAT1_complex_M1_macrophage___nucleus,STAT1_STAT1_complex_TH1___nucleus,STAT1_STAT2_complex,STAT1_STAT2_IRF9_complex,STAT1_TH1___cytoplasm
IFNG;IFNg_Fibroblast___Extracellular_Space,IFNG_IFNGR1_IFNGR2_complex,IFNG_IFNGR1_R2_complex,IFNg_M1_macrophage___Extracellular_Space,IFNg_TH1___extracellular_space,IFNGR1_IFNGR2_complex_M1_macrophage__Cytoplasmic_membrane_up,IFNGR1_IFNGR2_complex_TH1___cytoplasmic_membrane_up,IFNGR1_IFNGR2_IFNg_complex
CD40LG;CD40LG_CD40_complex,CD40LG_ITGAM_ITGB2_complex,CD40LG_ITGB1_ITGA1_complex_M1_macrophage__Cytoplasmic_membrane_up,CD40LG_ITGB1_ITGA1_complex_M2_macrophage__cytoplasmic_membrane_up,CD40LG_M1_macrophage__Cytoplasmic_membrane_down,CD40LG_M2_macrophage__cytoplasmic_membrane_down,CD40LG_TH1___cytoplasmic_membrane_down
CXCL12;ACKR3_CXCL12_complex,CXCL12
TNFSF11;RANK_RANKL_complex,RANK_RANKL_complex,TNFSF11_Fibroblast___Extracellular_Space,TNFSF11_M1_macrophage___Extracellular_Space,TNFSF11_TNFRSF11_complex
IL6;IL6_Fibroblast___Extracellular_Space,IL6_IL6R_complex,IL6_IL6R_IL6ST_complex,IL6_IL6ST_complex,IL6_M1_macrophage___Extracellular_Space
CCL5;CCL5_Fibroblast___Extracellular_Space,CCL5_TH1___extracellular_space
HSPA5;HSPA5
CD86;CD28_CD86_complex,CD86_M1_macrophage__Cytoplasmic_membrane_down,CD86_M2_macrophage__cytoplasmic_membrane_down
CD80;CD80
KLF4;klf4
CCL20;CCL20_M1_macrophage___Secreted_components,CCL20_M2_macrophage__secreted_components
ITGB7;COL4A3_ITGA4_ITGB7_complex,ITGA4_ITGB7_complex,VCAM1_ITGA4_ITGB7_complex
INHBA;ACVR2A_ACVR2B_INHBA_complex,INHBA
INHBB;ACVR2A_ACVR2B_INHBB_complex,INHBB_M1_macrophage___Extracellular_Space
PRLR;PRL_PRLR_complex
CSF1;CSF1_M2_macrophage__extracellular_space,CSF1_M2_macrophage__secreted_components,CSF1_rna
KRAS;KRAS
IL7R;IL7_IL7R_IL2RG_complex,IL7R_IL2RG_complex
LAG3;HLA_DP_DQ_DR_LAG3_complex,LAG3
CD28;CD28,CD28_CD86_complex
