Barcodes	Graph-based clusters	Total count	Total expressed feature	Cluster	Sample ID	Cell type	Diagnosis	Plate	Sample pathology	BioTuring - Anatomy	BioTuring - Cell type	Graph-based clusters (Fibroblast)	Cell class	Graph-based clusters (Monocyte)	Graph-based clusters (T cell)	Graph-based clusters (B cell)
S034_L7Q1_M11	Cluster 1	13132.3994	1495	SC-B1	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 8
S034_L7Q1_M15	Cluster 1	14164.4245	1685	SC-B1	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 5
S034_L7Q1_M17	Cluster 1	9354.4849	1032	SC-B2	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	memory B cell [BTC000207]	Unassigned	IGHG3+CD27+ memory B cell	Unassigned	Unassigned	Cluster 3
S034_L7Q1_M19	Cluster 1	16242.6281	1957	SC-B2	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	memory B cell [BTC000207]	Unassigned	IGHG3+CD27+ memory B cell	Unassigned	Unassigned	Cluster 5
S034_L7Q1_M21	Cluster 1	12817.3088	1456	SC-B2	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	memory B cell [BTC000207]	Unassigned	IGHG3+CD27+ memory B cell	Unassigned	Unassigned	Cluster 8
S034_L7Q1_O01	Cluster 10	19198.4486	2362	SC-T3	300-2590	T cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	PDCD1+ TPH and TFH cell	Unassigned	Cluster 4	Unassigned
S034_L7Q1_O03	Cluster 3	12670.7625	1440	SC-T1	300-2590	T cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 2	Unassigned
S034_L7Q1_O05	Cluster 3	12674.538	1430	SC-T1	300-2590	T cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 2	Unassigned
S034_L7Q1_O07	Cluster 3	16582.1708	2007	SC-T1	300-2590	T cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 2	Unassigned
S034_L7Q1_O09	Cluster 3	13269.5031	1531	SC-T1	300-2590	T cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 2	Unassigned
S034_L7Q1_O11	Cluster 3	17019.7044	2034	SC-T1	300-2590	T cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 2	Unassigned
S034_L7Q1_O13	Cluster 10	13871.9901	1595	SC-T1	300-2590	T cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 2	Unassigned
S034_L7Q1_O15	Cluster 3	18168.2595	2211	SC-T1	300-2590	T cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 2	Unassigned
S034_L7Q1_O19	Cluster 3	15426.8259	1852	SC-T4	300-2590	T cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
S034_L7Q2_A08	Cluster 3	11808.5577	1337	SC-T1	300-0213	T cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 7	Unassigned
S034_L7Q2_A12	Cluster 3	9243.9295	1020	SC-T1	300-0213	T cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 2	Unassigned
S034_L7Q2_A14	Cluster 3	16054.5457	1956	SC-T1	300-0213	T cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 2	Unassigned
S034_L7Q2_A20	Cluster 3	12512.8207	1415	SC-T4	300-0213	T cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 1	Unassigned
S034_L7Q2_C02	Cluster 6	21241.3304	2767	SC-F3	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 4	DKK3+ sublining fibroblast	Unassigned	Unassigned	Unassigned
S034_L7Q2_C04	Cluster 6	18489.8245	2285	SC-F1	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 4	CD34+ sublining fibroblast	Unassigned	Unassigned	Unassigned
S034_L7Q2_C06	Cluster 8	23480.0686	3203	SC-F4	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 12	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S034_L7Q2_C08	Cluster 8	21823.7403	2880	SC-F4	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 12	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S034_L7Q2_C10	Cluster 8	19945.335	2604	SC-F4	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 12	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S034_L7Q2_C12	Cluster 7	27530.4135	3878	SC-F1	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 3	CD34+ sublining fibroblast	Unassigned	Unassigned	Unassigned
S034_L7Q2_C14	Cluster 8	23054.3185	3148	SC-F4	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 12	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S034_L7Q2_C20	Cluster 8	24502.943	3398	SC-F4	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 12	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S034_L7Q2_C22	Cluster 6	21684.9998	2872	SC-F3	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 4	DKK3+ sublining fibroblast	Unassigned	Unassigned	Unassigned
S034_L7Q2_E04	Cluster 6	22410.9732	2956	SC-F1	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 13	CD34+ sublining fibroblast	Unassigned	Unassigned	Unassigned
S034_L7Q2_E08	Cluster 8	20112.3756	2604	SC-F4	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 12	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S034_L7Q2_E10	Cluster 6	26739.4133	3681	SC-F3	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 4	DKK3+ sublining fibroblast	Unassigned	Unassigned	Unassigned
S034_L7Q2_E12	Cluster 8	21868.0498	2933	SC-F4	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 12	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S034_L7Q2_E14	Cluster 8	27786.6079	3928	SC-F4	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 12	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S034_L7Q2_E16	Cluster 7	21390.2354	2792	SC-F2	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 3	HLA-DRAhi sublining fibroblast	Unassigned	Unassigned	Unassigned
S034_L7Q2_E20	Cluster 8	27199.2251	3825	SC-F4	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 12	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S034_L7Q2_E22	Cluster 8	19928.0365	2588	SC-F4	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 12	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S034_L7Q2_E24	Cluster 7	20459.3343	2653	SC-F1	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 4	CD34+ sublining fibroblast	Unassigned	Unassigned	Unassigned
S034_L7Q2_G02	Cluster 8	25955.132	3624	SC-F4	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 12	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S034_L7Q2_G04	Cluster 8	21503.5052	2854	SC-F4	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 12	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S034_L7Q2_G06	Cluster 6	26083.2001	3608	SC-F4	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S034_L7Q2_G12	Cluster 8	19993.7195	2612	SC-F4	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 12	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S034_L7Q2_G14	Cluster 8	25000.5597	3385	SC-F4	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 12	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S034_L7Q2_G16	Cluster 6	20412.668	2630	SC-F1	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 4	CD34+ sublining fibroblast	Unassigned	Unassigned	Unassigned
S034_L7Q2_G18	Cluster 8	24856.4618	3438	SC-F4	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 12	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S034_L7Q2_G22	Cluster 6	25031.2142	3404	SC-F3	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 4	DKK3+ sublining fibroblast	Unassigned	Unassigned	Unassigned
S034_L7Q2_G24	Cluster 8	22338.362	2942	SC-F4	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 12	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S034_L7Q2_I02	Cluster 1	13414.9975	1553	SC-B2	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	memory B cell [BTC000207]	Unassigned	IGHG3+CD27+ memory B cell	Unassigned	Unassigned	Cluster 5
S034_L7Q2_I12	Cluster 1	11454.0569	1290	SC-B2	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	memory B cell [BTC000207]	Unassigned	IGHG3+CD27+ memory B cell	Unassigned	Unassigned	Cluster 3
S034_L7Q2_I14	Cluster 1	16132.1098	1960	SC-B1	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 5
S034_L7Q2_I16	Cluster 1	12400.9101	1436	SC-B2	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	memory B cell [BTC000207]	Unassigned	IGHG3+CD27+ memory B cell	Unassigned	Unassigned	Cluster 5
S034_L7Q2_I22	Cluster 1	13288.1249	1509	SC-B1	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 8
S034_L7Q2_K02	Cluster 1	10957.2329	1224	SC-B2	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	memory B cell [BTC000207]	Unassigned	IGHG3+CD27+ memory B cell	Unassigned	Unassigned	Cluster 3
S034_L7Q2_K04	Cluster 1	10865.8064	1181	SC-B1	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 8
S034_L7Q2_K06	Cluster 1	13539.2796	1568	SC-B1	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 6
S034_L7Q2_K08	Cluster 1	16652.0327	2044	SC-B2	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	memory B cell [BTC000207]	Unassigned	IGHG3+CD27+ memory B cell	Unassigned	Unassigned	Cluster 5
S034_L7Q2_K10	Cluster 1	12698.3611	1440	SC-B2	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	memory B cell [BTC000207]	Unassigned	IGHG3+CD27+ memory B cell	Unassigned	Unassigned	Cluster 3
S034_L7Q2_K12	Cluster 1	14471.3782	1749	SC-B2	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	memory B cell [BTC000207]	Unassigned	IGHG3+CD27+ memory B cell	Unassigned	Unassigned	Cluster 5
S034_L7Q2_K14	Cluster 1	10725.1822	1195	SC-B2	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	memory B cell [BTC000207]	Unassigned	IGHG3+CD27+ memory B cell	Unassigned	Unassigned	Cluster 8
S034_L7Q2_K16	Cluster 1	9407.2167	1008	SC-B1	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 8
S034_L7Q2_K18	Cluster 1	12381.4414	1406	SC-B2	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	memory B cell [BTC000207]	Unassigned	IGHG3+CD27+ memory B cell	Unassigned	Unassigned	Cluster 1
S034_L7Q2_K20	Cluster 1	12911.6223	1488	SC-B2	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	memory B cell [BTC000207]	Unassigned	IGHG3+CD27+ memory B cell	Unassigned	Unassigned	Cluster 5
S034_L7Q2_K22	Cluster 1	14397.5544	1720	SC-B2	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	memory B cell [BTC000207]	Unassigned	IGHG3+CD27+ memory B cell	Unassigned	Unassigned	Cluster 3
S034_L7Q2_K24	Cluster 1	14533.5538	1740	SC-B3	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	B cell [BTC000020]	Unassigned	autoimmune-associated B cell	Unassigned	Unassigned	Cluster 5
S034_L7Q2_M02	Cluster 1	11435.0684	1283	SC-B1	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 1
S034_L7Q2_M04	Cluster 1	13782.8132	1630	SC-B2	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	memory B cell [BTC000207]	Unassigned	IGHG3+CD27+ memory B cell	Unassigned	Unassigned	Cluster 3
S034_L7Q2_M06	Cluster 1	12503.0918	1413	SC-B1	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 8
S034_L7Q2_M10	Cluster 1	14020.3048	1684	SC-B2	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	memory B cell [BTC000207]	Unassigned	IGHG3+CD27+ memory B cell	Unassigned	Unassigned	Cluster 3
S034_L7Q2_M12	Cluster 1	13999.4927	1669	SC-B2	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	memory B cell [BTC000207]	Unassigned	IGHG3+CD27+ memory B cell	Unassigned	Unassigned	Cluster 5
S034_L7Q2_M14	Cluster 1	11332.6287	1242	SC-B1	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 8
S034_L7Q2_M18	Cluster 1	14980.0573	1791	SC-B1	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 8
S034_L7Q2_M20	Cluster 1	11568.4435	1289	SC-B2	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	memory B cell [BTC000207]	Unassigned	IGHG3+CD27+ memory B cell	Unassigned	Unassigned	Cluster 8
S034_L7Q2_M22	Cluster 1	15490.0191	1851	SC-B1	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 8
S034_L7Q2_M24	Cluster 1	12840.7863	1490	SC-B2	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	memory B cell [BTC000207]	Unassigned	IGHG3+CD27+ memory B cell	Unassigned	Unassigned	Cluster 3
S034_L7Q2_O04	Cluster 3	14719.6783	1770	SC-T1	300-2590	T cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 2	Unassigned
S034_L7Q2_O08	Cluster 3	16872.3456	2075	SC-T4	300-2590	T cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 2	Unassigned
S034_L7Q2_O10	Cluster 3	15926.4138	1908	SC-T1	300-2590	T cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 2	Unassigned
S034_L7Q2_O12	Cluster 3	13058.2953	1530	SC-T1	300-2590	T cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 2	Unassigned
S034_L7Q2_O14	Cluster 3	10680.6684	1179	SC-T1	300-2590	T cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 2	Unassigned
S034_L7Q2_O20	Cluster 3	14732.5159	1744	SC-T1	300-2590	T cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 2	Unassigned
S034_L7Q2_O24	Cluster 3	14476.9931	1703	SC-T1	300-2590	T cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 2	Unassigned
S034_L8Q3_B05	Cluster 11	9499.5701	1010	SC-T4	300-0213	T cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 8	Unassigned
S034_L8Q3_B09	Cluster 3	14417.6228	1683	SC-T4	300-0213	T cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 1	Unassigned
S034_L8Q3_B11	Cluster 3	13817.6452	1603	SC-T1	300-0213	T cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 7	Unassigned
S034_L8Q3_B13	Cluster 11	10411.9222	1120	SC-T4	300-0213	T cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 8	Unassigned
S034_L8Q3_B17	Cluster 3	12133.861	1376	SC-T1	300-0213	T cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 7	Unassigned
S034_L8Q3_B19	Cluster 3	16233.2589	1989	SC-T1	300-0213	T cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 7	Unassigned
S034_L8Q3_D09	Cluster 6	28687.6607	3985	SC-F3	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 4	DKK3+ sublining fibroblast	Unassigned	Unassigned	Unassigned
S034_L8Q3_D11	Cluster 8	20677.1634	2711	SC-F4	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 12	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S034_L8Q3_D19	Cluster 8	23293.2882	3163	SC-F4	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 12	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S034_L8Q3_D23	Cluster 8	19160.9821	2472	SC-F4	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 12	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S034_L8Q3_F01	Cluster 6	29201.1823	4099	SC-F3	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 3	DKK3+ sublining fibroblast	Unassigned	Unassigned	Unassigned
S034_L8Q3_F13	Cluster 8	21627.2701	2849	SC-F4	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 12	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S034_L8Q3_H11	Cluster 7	22723.8807	3014	SC-F1	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 4	CD34+ sublining fibroblast	Unassigned	Unassigned	Unassigned
S034_L8Q3_H15	Cluster 8	20303.1494	2628	SC-F4	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 12	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S034_L8Q3_H17	Cluster 6	22939.4595	3038	SC-F3	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 4	DKK3+ sublining fibroblast	Unassigned	Unassigned	Unassigned
S034_L8Q3_H19	Cluster 6	28196.9839	3923	SC-F3	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 1	DKK3+ sublining fibroblast	Unassigned	Unassigned	Unassigned
S034_L8Q3_H21	Cluster 6	18003.1537	2245	SC-F1	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 4	CD34+ sublining fibroblast	Unassigned	Unassigned	Unassigned
S034_L8Q3_H23	Cluster 8	26161.1725	3640	SC-F4	300-0213	Fibroblast	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 12	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S034_L8Q3_J01	Cluster 1	12496.3534	1445	SC-B2	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	memory B cell [BTC000207]	Unassigned	IGHG3+CD27+ memory B cell	Unassigned	Unassigned	Cluster 3
S034_L8Q3_J03	Cluster 1	14719.5436	1738	SC-B1	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 1
S034_L8Q3_J05	Cluster 1	13302.639	1552	SC-B1	300-2590	B cell	Rheumatoid arthritis	S034	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 1
